model,galph
Lineage 1000,626
Gulfstream 2,579
Gulfstream 3,568
Gulfstream G350,520
G-7 Gulfstream G400,512
Gulfstream G300,512
Gulfstream G650,490
Global Express,486
BD-700 Global Express,478
Gulfstream G650,475
Global 6000,470
Gulfstream G450,465
Global 7500,460
Gulfstream G600,458
Global 5000,450
G-7 Gulfstream G400,447
Falcon 6X,419
G-4 Gulfstream G400,415
Gulfstream G700,382
G-5SP Gulfstream G550,372
Legacy 650,362
Gulfstream G550,358
Gulfstream G500 (G-5SP),353
Falcon 8X,347
Falcon 900,347
Citation XLS,336
Citation Excel,336
Challenger 350,330
Challenger 605,329
Falcon 7X,318
Legacy 600,312
Challenger 850,311
Challenger 650,310
Challenger 601,310
Falcon 900,303
Legacy 650,300
Hawker 800,291
Hawker 800,291
Challenger 604,289
Falcon 50,287
Gulfstream G280,284
Falcon 2000,283
Falcon 900,282
Falcon 20,280
Challenger 601,278
Hawker 850,277
Citation Longitude,270
Hawker 750,270
Falcon 2000,269
Falcon 900,267
Falcon 900,267
Challenger 300,266
Falcon 900,265
Hawker 4000,263
HS-125-700,263
Challenger 600,262
Hawker 800,261
Hawker 800,261
Falcon 900,260
Hawker 1000,260
Falcon 2000,257
Falcon 2000,257
Praetor 600,254
650 Citation 6,251
650 Citation 7,251
Falcon 2000,250
Praetor 500,249
Citation Sovereign,247
Falcon 2000,245
Citation Sovereign,244
Falcon 200,244
Legacy 500,243
650 Citation 3,241
Gulfstream G200,233
Falcon 50,229
Falcon 50,229
55,227
Citation Excel,225
Legacy 450,215
40,212
Falcon 10,212
Falcon 100,211
Citation Latitude,210
Citation XLS,210
55,210
Citation XLS,210
Diamond,207
60,204
45,204
60,203
31,202
75 Liberty,199
75,199
40,199
70,198
45,198
35,197
560 Citation Ultra,195
550 Citation 2,193
Gulfstream G150,192
Westwind 2,192
Hawker 400XP,191
Westwind 1,188
Gulfstream G100,186
31,182
Citation Encore,180
Citation S2,177
31,177
36,173
Citation CJ4,173
Citation CJ3,170
Citation 1,166
Beechjet (400XT),160
PC-24,160
Phenom 300,158
Citation CJ3,150
Citation Bravo,148
Citation CJ2,140
Beechcraft Premier IA,138
Beechcraft Premier I,138
Citation CJ1,134
Citation M2,120
Citation Mustang,95
Beechcraft King Air 360,90
HondaJet HA-420,90
Phenom 100,90
Beechcraft King Air 260,80
Embraer Phenom 100EV,80
Eclipse 500,68
Pilatus PC-12 NGX,55
Eclipse 550,55
Cirrus Vision Jet SF50,50
